setting,model,fold,alpha,k,epoch
setting1,XL3a_final,1,0.001,256,150
setting1,XL3a_final,2,0.001,256,150
setting1,XL3a_final,3,0.001,256,100
setting1,XL3a_final,4,0.001,256,100
setting1,XL3a_final,5,0.001,256,150
setting1,XL3b_final,1,0.001,256,30
setting1,XL3b_final,2,0.01,256,40
setting1,XL3b_final,3,0.01,256,40
setting1,XL3b_final,4,0.01,128,50
setting1,XL3b_final,5,0.001,256,20
setting1,XL5a_final,1,0.001,128,900
setting1,XL5a_final,2,0.0001,256,300
setting1,XL5a_final,3,0.0001,128,600
setting1,XL5a_final,4,0.001,256,900
setting1,XL5a_final,5,0.001,128,900
setting1,XL5b_final,1,0.001,128,90
setting1,XL5b_final,2,0.001,256,50
setting1,XL5b_final,3,0.001,128,50
setting1,XL5b_final,4,0.001,128,40
setting1,XL5b_final,5,0.001,256,30
setting2,XL5a_final,1,0.001,256,10
setting2,XL5a_final,2,0.001,256,300
setting2,XL5a_final,3,0.0001,256,40
setting2,XL5a_final,4,1e-05,256,10
setting2,XL5a_final,5,1e-06,128,10
setting2,XL5b_final,1,1e-05,256,20
setting2,XL5b_final,2,1e-06,128,30
setting2,XL5b_final,3,0.001,128,50
setting2,XL5b_final,4,0.0001,128,100
setting2,XL5b_final,5,0.001,128,10
